Timestamp,How old are you? (Age range),How often do you play?,Have you played this game before?,How difficult did you find the game?,Was it enjoyable?,Did you feel frustrated?,Did you feel the difficulty increase?,How long did you play before stopping during the time?,Did you complete the game?,How far did you get within the slotted time? (Level/Progression),Would you play this game again?,How likely would you recommend this game?
18/01/2026 22:07:51,18-23,1,Yes,3,2,3,3,20 minutes ,No,Level 7 ,No,2
19/01/2026 10:29:47,18-23,3,Yes,3,5,2,4,30 minutes ,No,Time machine - 8,Yes,4
20/01/2026 16:51:49,Prefer not to say,5,Yes,1,4,3,5, 20 minutes,No,Theory of Everything Level 12,Yes,4
20/01/2026 21:37:10,18-23,5,Yes,4,3,5,4,30+ minutes,No,Base after base/5,Yes,3
26/01/2026 22:21:29,18-23,4,Yes,4,5,5,4,10 minutes,Yes,"Level 1, 13 Attempts",Yes,5
01/02/2026 18:59:09,18-23,5,No,4,2,3,4,5 minutes ,No,18% through the first level,No,1
02/02/2026 00:44:32,18-23,3,Yes,5,3,5,5,1 hour,No,Level 5,Maybe,5
02/02/2026 07:05:53,18-23,3,Yes,3,3,4,5,15 mins,No,6,Yes,3
03/02/2026 14:44:33,18-23,2,Yes,4,3,4,4,2 years,No,Don’t remember,Yes,4
03/02/2026 18:13:39,18-23,1,Yes,3,4,3,4,20-25 minutes ,No,The second one - 2,Maybe,4
05/02/2026 15:08:07,18-23,5,Yes,3,4,5,4,1hr,No,completed the first 2 levels,Maybe,4
05/02/2026 15:09:03,18-23,3,Yes,3,4,4,5,1 month,No,X-Step - 10,Yes,4
05/02/2026 20:51:05,35+,1,No,5,4,5,4,4 minutes ,No,1level 10%,Yes,4
06/02/2026 00:22:56,18-23,3,Yes,2,4,5,2,18 minutes,Yes,100%,Maybe,4
06/02/2026 15:19:46,18-23,2,Yes,4,4,5,5,1 hour,No,Stereo Madness to xStep - 10,Yes,4
06/02/2026 20:39:17,18-23,2,Yes,3,4,4,5,35 minutes,No,Level 11,Yes,4
10/02/2026 15:46:42,18-23,4,No,3,3,4,5,15 mins,No,10,Yes,4
12/02/2026 18:33:21,35+,2,No,5,5,5,5,3 minutes ,No,Level 1 - 11%,No,4
17/02/2026 18:17:21,18-23,3,Yes,3,4,5,5,an hour,No,dont remember ,No,3
